Repo,Org,Language,Dep Count,Top 25 Dependencies
cashu-ui,cashubtc,Python,58.0,"bech32, cashu, secp256k1, python, asyncio, anyio, bitstring, certifi, cffi, click, colorama, ecdsa, environs, fastapi, h11, idna, importlib-metadata, loguru, marshmallow, packaging, pycparser, pydantic, python-dotenv, setuptools, six"
cashu.me,cashubtc,TypeScript,57.0,"typescript, @types/node, nostr-tools, eslint, autoprefixer, vitest, prettier, date-fns, qrcode, @cashu/cashu-ts, bech32, @typescript-eslint/eslint-plugin, @typescript-eslint/parser, eslint-config-prettier, @capacitor/core, light-bolt11-decoder, @capacitor/android, @capacitor/cli, @capacitor/haptics, @gandlaf21/bc-ur, vue, @capacitor/ios, @types/uuid, @capacitor/clipboard, @chenfengyuan/vue-qrcode"
marmots-web-chat,marmot-protocol,TypeScript,53.0,"typescript, tailwindcss, @types/node, react, vite, react-dom, @types/react, @types/react-dom, clsx, lucide-react, tailwind-merge, globals, class-variance-authority, prettier, recharts, vaul, @noble/hashes, idb, applesauce-common, applesauce-core, rxjs, @tailwindcss/vite, @vitejs/plugin-react, applesauce-accounts, applesauce-loaders"
whitenoise,marmot-protocol,Dart,48.0,"flutter, flutter_rust_bridge, freezed_annotation, mime, flutter_test, plugin_platform_interface, flutter_lints, freezed, build_runner, flutter_localizations, intl, rust_lib_whitenoise, logging, connectivity_plus, cupertino_icons, flutter_screenutil, collection, gap, emoji_picker_flutter, flutter_svg, go_router, flutter_riverpod, flutter_secure_storage, flutter_hooks, hooks_riverpod"
nostr-rs-relay,andotherstuff,Rust,47.0,"serde, serde_json, thiserror, tracing, tracing-subscriber, tokio, hex, qrcode, anyhow, bech32, clap, rand, chrono, prost, futures, nostr, uuid, secp256k1, rusqlite, async-trait, prometheus, log, tracing-appender, tokio-tungstenite, config"
cashu-redeem,cashubtc,TypeScript,44.0,"typescript, @types/node, tailwindcss, eslint, react, react-dom, @types/react, @types/react-dom, clsx, lucide-react, postcss, @eslint/js, tailwind-merge, class-variance-authority, prettier, tailwindcss-animate, @radix-ui/react-checkbox, @radix-ui/react-label, @cashu/cashu-ts, bech32, @typescript-eslint/eslint-plugin, @typescript-eslint/parser, @webbtc/webln-types, eslint-plugin-import, ts-node"
docs.cashu.space,cashubtc,JavaScript,44.0,"tailwindcss, eslint, react, react-dom, autoprefixer, clsx, @tailwindcss/typography, prettier, dotenv, zustand, express, framer-motion, next, node-fetch, remark-gfm, eslint-config-next, cors, @flydotio/dockerfile, @algolia/autocomplete-core, @algolia/autocomplete-preset-algolia, @headlessui/react, @mdx-js/loader, @mdx-js/react, @next/mdx, @sindresorhus/slugify"
cashu-ts,cashubtc,TypeScript,42.0,"typescript, @types/node, eslint, vite, @eslint/js, globals, vitest, typescript-eslint, prettier, @typescript-eslint/eslint-plugin, @noble/hashes, @typescript-eslint/parser, eslint-plugin-import, ts-node, eslint-config-prettier, eslint-plugin-promise, tsx, ws, @noble/curves, @types/ws, eslint-plugin-n, husky, node-fetch, @scure/base, @scure/bip32"
mdk,marmot-protocol,Rust,36.0,"serde, serde_json, thiserror, tracing, tracing-subscriber, hex, tokio, tempfile, openmls_traits, nostr, rusqlite, openmls, openmls_basic_credential, openmls_rust_crypto, sha2, image, blurhash, mdk-sqlite-storage, mdk-storage-traits, mdk-core, tls_codec, base64, chacha20poly1305, hkdf, getrandom"
whitenoise-rs,marmot-protocol,Rust,36.0,"serde, serde_json, thiserror, tracing, tracing-subscriber, hex, tokio, tempfile, chrono, clap, nostr-sdk, rand, futures, async-trait, image, reqwest, sha2, tracing-appender, indicatif, keyring-core, mdk-core, mdk-sqlite-storage, mdk-storage-traits, rustls, sqlx"
